genome,domain,phylum,class,order,family,genus,species,completeness,contamination,length
D300911:bin_000027,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Coprosoma,s__Coprosoma intestinipullorum,96.42,3.37,1496911
D300911:bin_000041,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A intestinipullorum,89.34,2.9,3304662
D300914:bin_000026,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum pullistercoris,95.38,0.47,2486684
D300914:bin_000035,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__Borkfalkia sp944342025,89.82,1.75,1742911
D300914:bin_000046,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-793,s__CAG-793 sp944391895,77.28,1.54,1670093
D300914:bin_000058,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Massilimicrobiota,s__,92.22,23.86,2669069
D300915:bin_000007,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Coproplasma,s__Coproplasma sp944354125,97.01,0,1713791
D300915:bin_000026,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter sp904377845,99.27,3.86,3196612
D300916:bin_000002,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger formicilis_B,98.45,0.7,2988218
D300916:bin_000014,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__Scatovivens,s__Scatovivens faecipullorum,99.82,4.7,1873126
D300918:bin_000001,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__Woodwardibium,s__Woodwardibium sp900754535,97.99,0.06,1924566
D300918:bin_000011,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus,s__Fimenecus sp900545625,98.23,0.63,2139552
D300920:bin_000015,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Choladocola,s__Choladocola sp944381625,95.66,1.68,3326265
D300920:bin_000031,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__Scatovivens,s__Scatovivens sp944390345,91.73,4.88,1588257
D300920:bin_000032,d__Bacteria,p__Bacillota_B,c__Peptococcia,o__Peptococcales,f__Peptococcaceae,g__QAKL01,s__,90.12,4.05,1779514
D300920:bin_000041,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Pelethomonas,s__Pelethomonas sp017887695,76.12,2.12,2502965
HPB:bin_000001,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Coproplasma,s__Coproplasma stercorigallinarum,95.42,0.12,2156344
HPB:bin_000004,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-793,s__CAG-793 sp930986425,97.75,3.29,1914405
HPB:bin_000005,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__Borkfalkia avicola,95.08,0.08,2575080
HPB:bin_000007,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__,98.39,1.88,1959055
HPB:bin_000009,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Gallimonas,s__Gallimonas merdigallinarum,93.06,0.14,2151666
HPB:bin_000011,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAKNOI01,s__CAKNOI01 sp930990125,99.89,3.92,1871491
HPB:bin_000012,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CALWZV01,s__CALWZV01 sp944386115,93.71,3.11,1474717
HPB:bin_000013,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Faecimonas,s__Faecimonas sp017886705,94.77,4.68,1897970
HPB:bin_000014,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Gallimonas,s__Gallimonas intestinavium,94.21,0.3,2196832
HPB:bin_000016,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Onthocola_B,s__Onthocola_B sp944363835,93.67,3.93,1408719
HPB:bin_000017,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Heteroscilispira,s__Heteroscilispira lomanii,98.7,0,2307769
HPB:bin_000019,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__Borkfalkia sp017886545,94.5,0.1,2567291
HPB:bin_000020,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UBA6345,s__UBA6345 sp944380265,98.07,0.39,1265361
HPB:bin_000023,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Enterenecus,s__Enterenecus sp944385465,100,0,2578176
HPB:bin_000025,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__CAG-273 sp900752335,97.25,2.16,1562839
HPB:bin_000026,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Avimicrobium,s__Avimicrobium caecorum,99.09,0.09,2217846
HPB:bin_000027,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__RUG14156,g__Galligastranaerophilus_A,s__Galligastranaerophilus_A intestinigallinarum,96.72,0.34,1897217
HPB:bin_000028,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__Acutalibacter ornithocaccae,99.91,0.13,3348511
HPB:bin_000029,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha merdigallinarum,95.97,0.64,2838235
HPB:bin_000031,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium_A,s__Lachnoclostridium_A avicola,99.39,0.96,3822206
HPB:bin_000032,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA3700,g__Ornithoclostridium,s__Ornithoclostridium sp944380285,97.59,0,1866989
HPB:bin_000035,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Coproplasma,s__Coproplasma avistercoris,95.14,0.06,1963166
HPB:bin_000036,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Stercorousia,s__Stercorousia faecigallinarum,99.96,0.1,2167252
HPB:bin_000038,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__UBA644,g__UBA644,s__UBA644 sp014872655,100,0.03,2293659
HPB:bin_000039,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RGIG3091,s__RGIG3091 sp944372315,93.26,2.04,1382555
HPB:bin_000040,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__,99.78,4.92,3027133
HPB:bin_000042,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CALXRW01,s__CALXRW01 sp944390965,98.24,1.38,1712581
HPB:bin_000043,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus,s__Ligilactobacillus salivarius,99.63,0,1797637
HPB:bin_000044,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha sp900759385,95.14,1.21,3206357
HPB:bin_000045,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__,99.4,1.24,1819906
HPB:bin_000046,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Anaeromassilibacillus,s__Anaeromassilibacillus stercoravium,100,0.03,3187110
HPB:bin_000047,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Avigastranaerophilus,s__Avigastranaerophilus faecigallinarum,97.44,0.05,2146939
HPB:bin_000048,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Pelethosoma,s__Pelethosoma sp944372485,93.44,4.78,1465517
HPB:bin_000049,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CALVVX01,s__CALVVX01 sp944368815,93.1,2.76,1509316
HPB:bin_000052,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp944387425,99.66,0.97,1923625
HPB:bin_000053,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-273,s__CAG-273 sp944392105,98.62,1.55,1691029
HPB:bin_000055,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-314,g__CAG-314,s__CAG-314 sp000437915,95.17,0,1716248
HPB:bin_000056,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes communis,100,0.37,3040150
HPB:bin_000057,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Caccovicinus,s__Caccovicinus merdipullorum,99.06,0.53,4062770
HPB:bin_000058,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp944393385,99.69,0.71,2098472
HPB:bin_000059,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha intestinigallinarum,96.29,0.42,2907340
HPB:bin_000061,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CALXCT01,s__,99.8,0.31,2342931
HPB:bin_000064,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__CALWRB01,s__CALWRB01 sp944381395,98.74,0.5,2307048
HPB:bin_000066,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccopulliclostridium,s__Caccopulliclostridium gallistercoris,97.22,0.33,1289225
HPB:bin_000069,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Caccenecus,s__Caccenecus sp944358135,93.62,0.72,1640137
HPB:bin_000071,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__Intestinimonas sp944385655,99.98,0.52,3497491
HPB:bin_000072,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Pumilibacteraceae,g__Protoclostridium,s__Protoclostridium sp019113265,95.55,0.06,1812988
HPB:bin_000074,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UMGS687,s__UMGS687 sp944380415,98.37,0.36,934798
HPB:bin_000077,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium_A,s__Lachnoclostridium_A sp944383765,99.68,0.35,2829682
HPB:bin_000078,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Gallimonas,s__Gallimonas intestinigallinarum,95.31,0.35,2275272
HPB:bin_000080,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Tidjanibacter,s__Tidjanibacter inops,99.99,0.01,2351523
HPB:bin_000081,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Gallimonas,s__Gallimonas sp944367185,95.12,0.27,2317039
HPB:bin_000082,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__Borkfalkia faecavium,97.42,0.06,2327171
HPB:bin_000083,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha stercorigallinarum,95.61,1.48,2657783
HPB:bin_000084,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Alloscillospira,s__,98.19,1.28,2771810
HPB:bin_000085,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Massilimicrobiota,s__Massilimicrobiota sp002160865,99.42,0.52,2822016
HPB:bin_000087,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium intestinigallinarum,99.94,0.07,2734079
HPB:bin_000089,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Gallimonas,s__Gallimonas caecicola,95.87,0.7,2656067
HPB:bin_000090,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Butyricicoccus,s__Butyricicoccus sp944381005,98.53,0.23,2805921
HPB:bin_000092,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UBA1740,s__,98.25,0.6,2728821
HPB:bin_000093,d__Bacteria,p__Bacillota,c__Bacilli,o__CAJFEE01,f__CAJFEE01,g__Harrysmithimonas,s__Harrysmithimonas galli,100,0.06,3013123
HPB:bin_000094,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium faecipullorum,99.9,0.59,2864878
HPB:bin_000095,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__Acutalibacter pullistercoris,99.91,0.15,2830679
HPB:bin_000096,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Enterenecus,s__Enterenecus sp905210385,98.73,0.2,2861157
HPB:bin_000097,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Pumilibacteraceae,g__HGM11386,s__HGM11386 sp900761915,95.42,3.3,2736392
HPB:bin_000098,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__Borkfalkia,s__Borkfalkia faecipullorum,95.24,1.63,3228414
HPB:bin_000099,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-303,s__CAG-303 sp944384155,100,0.51,3191209
HPB:bin_000100,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Thomasclavelia,s__Thomasclavelia merdavium,100,1.74,3261197
HPB:bin_000101,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Mailhella,s__Mailhella merdigallinarum,99.18,0.21,3109388
HPB:bin_000102,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__,s__,97.14,0.56,3226069
HPB:bin_000103,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA1685,s__UBA1685 sp944366945,95.76,2.25,3020195
HPB:bin_000105,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA866,s__,97.84,1.21,3180946
HPB:bin_000106,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimivicinus,s__Fimivicinus intestinavium,99.57,0.82,3104198
HPB:bin_000107,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor intestinigallinarum,99.99,1.59,3412629
HPB:bin_000109,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA3402,s__UBA3402 sp944380605,96.47,1.16,3061873
HPB:bin_000110,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Scatomorpha,s__Scatomorpha merdavium,97.44,0.92,2972307
HPB:bin_000111,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger avicola,96.57,1.15,3137143
HPB:bin_000113,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecivivens,s__Faecivivens stercoravium,99.44,0.7,3259478
HPB:bin_000115,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Alangreenwoodia,s__,95.87,0.39,3013629
HPB:bin_000116,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Catenibacillus,s__Catenibacillus faecigallinarum,98.51,3.39,5182046
HPB:bin_000119,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Pseudoflavonifractor_A,s__Pseudoflavonifractor_A sp944386885,94.55,1.06,3383503
HPB:bin_000120,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes excrementavium,99.65,0.22,2868566
HPB:bin_000122,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter sp900761655,98.3,1.56,3736242
HPB:bin_000123,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Rikenella,s__Rikenella massiliensis,98.96,0.48,3061640
HPB:bin_000124,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Copromonas,s__Copromonas avistercoris,98.34,0.11,3196362
HPB:bin_000125,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__Anaerotignum merdipullorum,97.38,0.01,3211795
